	gse
1292.0	GSE145156
1293.0	GSE145156
1294.0	GSE145156
1295.0	GSE146003
1296.0	GSE146003
1297.0	GSE146003
1298.0	GSE146003
1299.0	GSE146003
1300.0	GSE146003
1301.0	GSE146003
1302.0	GSE146003
1303.0	GSE146003
1304.0	GSE146003
1305.0	GSE146003
1306.0	GSE146003
1307.0	GSE146003
1308.0	GSE146003
1309.0	GSE146179
1310.0	GSE146179
1311.0	GSE146179
1312.0	GSE146179
1313.0	GSE146179
1314.0	GSE146179
1315.0	GSE146504
1316.0	GSE146504
1317.0	GSE146504
1318.0	GSE146504
1319.0	GSE146504
1320.0	GSE146504
1321.0	GSE146504
1322.0	GSE146504
1323.0	GSE146504
1324.0	GSE146504
1325.0	GSE146504
1326.0	GSE146504
1327.0	GSE146504
1328.0	GSE146504
1329.0	GSE146504
1330.0	GSE147153
1331.0	GSE147153
1332.0	GSE147153
1333.0	GSE147153
1334.0	GSE147153
1335.0	GSE147153
1336.0	GSE147153
1337.0	GSE147153
1338.0	GSE147153
1339.0	GSE147537
1340.0	GSE147537
1341.0	GSE147537
1342.0	GSE147537
1343.0	GSE147537
1344.0	GSE147537
1345.0	GSE147537
1346.0	GSE147537
1347.0	GSE147537
1348.0	GSE147537
1349.0	GSE147537
1350.0	GSE147537
1351.0	GSE147537
1352.0	GSE147537
1353.0	GSE147537
1354.0	GSE147537
1355.0	GSE147537
1356.0	GSE147537
1357.0	GSE147537
1358.0	GSE147537
1359.0	GSE147537
1360.0	GSE147537
1361.0	GSE147537
1362.0	GSE147537
1363.0	GSE147537
1364.0	GSE147537
